"Estimated resident population by local government area (LGA), Queensland, 2001 to 2025p",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
LGA,Estimated resident population at 30 June,,,,,,,,,,,,,,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022r,2023r,2024r,2025p
,— number —,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Goondiwindi (R),"10,219","10,297","10,326","10,306","10,297","10,364","10,468","10,605","10,722","10,823","10,900","10,944","10,952","10,902","10,835","10,813","10,747","10,648","10,603","10,516","10,400","10,393","10,417","10,457","10,438"
Gympie (R),"38,062","38,549","39,389","40,469","41,682","42,628","43,634","44,700","45,774","46,366","46,837","47,786","48,491","49,089","49,540","50,327","51,110","51,665","52,489","53,021","53,851","55,002","56,051","57,317","58,487"
Hinchinbrook (S),"12,172","12,046","12,004","11,851","11,814","11,810","11,822","11,826","11,829","11,808","11,817","11,763","11,613","11,412","11,181","10,968","10,950","10,944","10,891","10,911","10,990","11,067","11,093","11,130","11,194"
Hope Vale (S),875,867,850,831,824,812,850,897,955,"1,011","1,052","1,059","1,043","1,030","1,009","1,014","1,005","1,011","1,013","1,007",998,"1,005","1,026","1,057","1,073"
Ipswich (C),"123,934","126,116","128,646","132,119","137,324","141,986","148,133","154,428","161,664","167,134","172,200","178,215","183,688","189,195","194,274","200,103","205,588","211,946","219,893","226,778","233,314","242,070","250,465","259,134","268,272"
Isaac (R),"18,169","18,590","19,050","19,231","19,785","20,372","21,018","21,632","22,237","22,658","23,188","23,344","23,284","22,786","22,173","21,543","21,480","21,523","21,773","22,141","22,419","22,718","22,989","23,159","23,186"
Kowanyama (S),999,"1,012","1,016","1,030","1,048","1,063","1,075","1,079","1,088","1,103","1,112","1,078","1,042","1,014",996,983,990,"1,014","1,045","1,076","1,107","1,133","1,142","1,147","1,155"
Livingstone (S),"25,863","26,488","27,280","28,159","28,755","29,543","30,629","31,407","32,474","32,906","33,394","34,381","35,279","36,063","36,579","36,950","37,452","37,950","38,548","39,206","39,877","40,835","41,830","42,774","43,668"
Lockhart River (S),638,623,607,591,584,578,573,555,554,552,520,579,626,671,697,746,727,708,693,673,653,655,670,686,702
Lockyer Valley (R),"28,213","28,813","29,078","29,485","30,524","31,305","32,050","32,974","34,333","35,110","35,880","36,547","37,682","38,363","38,861","39,499","40,003","40,539","41,020","41,366","41,750","42,579","43,796","44,983","46,058"
Logan (C),"234,351","239,515","244,076","249,161","253,905","259,116","264,410","270,628","277,372","282,189","287,474","293,974","300,545","305,147","309,342","314,511","321,102","327,769","335,955","343,821","350,673","362,388","377,020","391,566","403,515"
Longreach (R),"4,537","4,545","4,447","4,379","4,284","4,174","4,174","4,193","4,219","4,250","4,296","4,217","4,104","4,027","3,812","3,727","3,661","3,653","3,654","3,651","3,691","3,719","3,733","3,745","3,741"
Mackay (R),"89,337","91,554","93,642","96,285","99,901","103,567","106,026","108,644","111,455","113,669","115,960","117,495","118,878","118,916","118,292","117,218","117,513","118,352","119,529","121,395","123,148","124,786","126,714","128,139","129,253"
McKinlay (S),"1,045","1,033",993,973,951,922,963,994,"1,011","1,044","1,085","1,041",992,943,876,816,811,817,822,828,838,843,846,849,850
Mapoon (S),205,213,224,232,239,247,254,262,271,276,281,290,293,302,304,318,344,369,393,418,442,456,465,486,494
Maranoa (R),"12,368","12,383","12,436","12,461","12,501","12,612","12,770","12,952","13,113","13,286","13,437","13,424","13,515","13,434","13,292","12,926","12,927","12,914","12,835","12,891","12,957","13,078","13,230","13,336","13,370"
Mareeba (S),"18,125","18,236","18,307","18,353","18,553","18,753","19,195","19,737","20,177","20,495","20,745","20,953","21,379","21,542","21,812","22,038","22,227","22,501","22,681","23,010","23,171","23,332","23,654","23,940","24,205"
Moreton Bay (C),"283,062","291,543","302,027","312,887","323,085","331,713","344,545","357,499","370,447","381,357","390,051","401,188","410,687","419,764","428,994","439,292","448,559","458,013","467,314","476,622","484,353","495,849","509,123","521,494","532,445"
Mornington (S),991,999,"1,046","1,054","1,067","1,082","1,119","1,120","1,158","1,184","1,220","1,218","1,206","1,202","1,202","1,197","1,171","1,151","1,127","1,093","1,060","1,066","1,079","1,087","1,099"
Mount Isa (C),"20,743","20,276","19,997","19,908","20,153","20,374","20,711","21,381","21,607","21,830","22,079","21,958","21,822","21,261","20,586","19,606","19,363","19,241","19,159","19,315","19,217","19,032","18,901","18,725","18,585"
Murweh (S),"4,936","4,892","4,848","4,803","4,774","4,692","4,665","4,668","4,699","4,714","4,731","4,737","4,685","4,639","4,527","4,386","4,279","4,263","4,211","4,106","4,009","3,957","3,960","3,988","4,004"
Napranum (S),785,799,819,836,856,876,881,890,901,910,908,919,922,939,959,989,973,958,943,923,906,905,923,941,952
Noosa (S),"43,496","44,893","46,063","47,183","47,635","48,082","48,595","49,600","50,315","50,770","51,038","51,678","52,360","52,988","53,497","53,922","54,688","55,511","56,045","56,662","56,874","57,121","58,147","59,015","59,551"
North Burnett (R),"10,450","10,408","10,415","10,445","10,403","10,378","10,322","10,335","10,377","10,358","10,374","10,408","10,487","10,547","10,607","10,646","10,556","10,406","10,268","10,206","10,142","10,195","10,327","10,449","10,562"
Northern Peninsula Area (R),"2,055","2,058","2,069","2,074","2,070","2,063","2,168","2,234","2,273","2,391","2,463","2,547","2,620","2,741","2,836","2,945","2,935","2,923","2,904","2,891","2,885","2,890","2,906","2,925","2,944"
Palm Island (S),"2,269","2,249","2,202","2,155","2,103","2,070","2,162","2,265","2,333","2,430","2,538","2,539","2,529","2,527","2,550","2,581","2,465","2,369","2,274","2,205","2,180","2,192","2,207","2,282","2,335"
Paroo (S),"2,172","2,127","2,106","2,075","2,042","1,991","1,946","1,921","1,909","1,924","1,937","1,903","1,849","1,807","1,734","1,668","1,679","1,666","1,671","1,683","1,707","1,710","1,719","1,722","1,724"
Pormpuraaw (S),618,622,622,623,623,621,647,662,673,691,715,730,737,747,764,785,774,743,708,672,632,635,642,645,650
Quilpie (S),"1,086","1,064","1,045","1,025","1,019","1,012",994,992,996,"1,003","1,007",983,944,915,868,825,805,772,742,721,702,703,713,714,720
Redland (C),"115,832","118,870","122,994","126,010","128,654","130,760","133,596","136,771","139,859","141,552","143,711","145,719","147,328","148,833","150,107","152,216","154,656","156,885","158,937","160,418","161,709","163,490","166,557","169,940","172,831"
Richmond (S),"1,128","1,090","1,062","1,007",975,935,908,895,898,873,847,841,839,838,820,806,791,785,777,769,769,775,779,785,788
Rockhampton (R),"70,480","70,909","71,499","72,420","73,185","74,204","75,195","76,272","77,448","78,193","78,939","80,555","81,745","82,136","82,026","81,322","81,322","81,406","81,842","82,352","82,882","83,508","84,389","85,170","85,794"
Scenic Rim (R),"30,030","30,715","31,930","32,749","33,560","34,231","34,983","35,578","36,525","37,167","37,437","37,966","38,732","39,882","40,307","40,984","41,643","42,371","42,856","43,255","43,592","44,263","45,166","45,944","46,947"
Somerset (R),"17,866","18,117","18,361","18,609","19,085","19,608","19,919","20,366","21,071","21,717","22,200","22,761","23,619","24,459","24,681","25,153","25,286","25,326","25,355","25,322","25,388","25,669","26,197","26,516","26,936"
